Situation,Time,Goals For,Goals Against,TeamID,Team Name
Even,379:37.4,41,16,692,Gang Green 2
5 on 5,377:37.4,41,16,692,Gang Green 2
4 on 4,02:00.0,0,0,692,Gang Green 2
3 on 3,00:00.0,0,0,692,Gang Green 2
Power Play,39:43.3,4,0,692,Gang Green 2
5 on 4,39:05.8,4,0,692,Gang Green 2
5 on 3,00:37.5,0,0,692,Gang Green 2
4 on 3,00:00.0,0,0,692,Gang Green 2
Penalty Kill,30:28.7,0,6,692,Gang Green 2
4 on 5,27:04.8,0,5,692,Gang Green 2
3 on 5,01:24.7,0,1,692,Gang Green 2
3 on 4,01:59.2,0,0,692,Gang Green 2
Total,449:49.4,45,22,692,Gang Green 2
Even,432:50.3,24,30,3424,Oakland Reapers
5 on 5,428:20.0,24,30,3424,Oakland Reapers
4 on 4,04:30.3,0,0,3424,Oakland Reapers
3 on 3,00:00.0,0,0,3424,Oakland Reapers
Power Play,27:21.0,6,1,3424,Oakland Reapers
5 on 4,27:04.3,5,1,3424,Oakland Reapers
5 on 3,00:08.7,0,0,3424,Oakland Reapers
4 on 3,00:08.0,1,0,3424,Oakland Reapers
Penalty Kill,34:48.7,1,2,3424,Oakland Reapers
4 on 5,34:08.1,1,2,3424,Oakland Reapers
3 on 5,00:40.6,0,0,3424,Oakland Reapers
3 on 4,00:00.0,0,0,3424,Oakland Reapers
Total,495:00.0,31,33,3424,Oakland Reapers
Even,451:01.8,34,19,4679,Silver Bullets 2
5 on 5,447:46.1,33,19,4679,Silver Bullets 2
4 on 4,03:15.7,1,0,4679,Silver Bullets 2
3 on 3,00:00.0,0,0,4679,Silver Bullets 2
Power Play,29:05.3,6,2,4679,Silver Bullets 2
5 on 4,26:03.6,5,2,4679,Silver Bullets 2
5 on 3,03:01.7,1,0,4679,Silver Bullets 2
4 on 3,00:00.0,0,0,4679,Silver Bullets 2
Penalty Kill,14:52.9,0,2,4679,Silver Bullets 2
4 on 5,14:52.3,0,2,4679,Silver Bullets 2
3 on 5,00:00.6,0,0,4679,Silver Bullets 2
3 on 4,00:00.0,0,0,4679,Silver Bullets 2
Total,495:00.0,40,23,4679,Silver Bullets 2
Even,366:59.7,20,28,2585,No Regretzkys
5 on 5,366:59.7,20,28,2585,No Regretzkys
4 on 4,00:00.0,0,0,2585,No Regretzkys
3 on 3,00:00.0,0,0,2585,No Regretzkys
Power Play,25:21.2,6,1,2585,No Regretzkys
5 on 4,22:11.1,5,1,2585,No Regretzkys
5 on 3,03:10.1,1,0,2585,No Regretzkys
4 on 3,00:00.0,0,0,2585,No Regretzkys
Penalty Kill,11:29.0,0,2,2585,No Regretzkys
4 on 5,11:29.0,0,2,2585,No Regretzkys
3 on 5,00:00.0,0,0,2585,No Regretzkys
3 on 4,00:00.0,0,0,2585,No Regretzkys
Total,403:49.9,26,31,2585,No Regretzkys
Even,340:33.1,20,18,4680,Sofa King Old
5 on 5,338:05.2,20,18,4680,Sofa King Old
4 on 4,02:27.9,0,0,4680,Sofa King Old
3 on 3,00:00.0,0,0,4680,Sofa King Old
Power Play,26:51.5,0,0,4680,Sofa King Old
5 on 4,24:10.9,0,0,4680,Sofa King Old
5 on 3,00:41.4,0,0,4680,Sofa King Old
4 on 3,01:59.2,0,0,4680,Sofa King Old
Penalty Kill,37:35.4,3,3,4680,Sofa King Old
4 on 5,36:01.7,3,3,4680,Sofa King Old
3 on 5,01:33.7,0,0,4680,Sofa King Old
3 on 4,00:00.0,0,0,4680,Sofa King Old
Total,405:00.0,23,21,4680,Sofa King Old
Even,377:55.8,33,22,4719,Lot Lizards
5 on 5,372:41.2,33,21,4719,Lot Lizards
4 on 4,05:14.6,0,1,4719,Lot Lizards
3 on 3,00:00.0,0,0,4719,Lot Lizards
Power Play,26:46.4,2,2,4719,Lot Lizards
5 on 4,26:46.4,2,2,4719,Lot Lizards
5 on 3,00:00.0,0,0,4719,Lot Lizards
4 on 3,00:00.0,0,0,4719,Lot Lizards
Penalty Kill,44:07.7,4,8,4719,Lot Lizards
4 on 5,38:09.0,4,6,4719,Lot Lizards
3 on 5,05:50.7,0,1,4719,Lot Lizards
3 on 4,00:08.0,0,1,4719,Lot Lizards
Total,448:49.9,39,32,4719,Lot Lizards
Even,472:48.7,17,56,4400,Silver Squids
5 on 5,472:20.8,17,56,4400,Silver Squids
4 on 4,00:27.9,0,0,4400,Silver Squids
3 on 3,00:00.0,0,0,4400,Silver Squids
Power Play,32:37.2,2,2,4400,Silver Squids
5 on 4,30:46.3,2,2,4400,Silver Squids
5 on 3,01:50.9,0,0,4400,Silver Squids
4 on 3,00:00.0,0,0,4400,Silver Squids
Penalty Kill,34:23.5,0,3,4400,Silver Squids
4 on 5,34:23.5,0,3,4400,Silver Squids
3 on 5,00:00.0,0,0,4400,Silver Squids
3 on 4,00:00.0,0,0,4400,Silver Squids
Total,539:49.4,19,61,4400,Silver Squids
